#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-01-01 to 2017-12-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 908: Alpine Meadows, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Day  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Alpine Meadows (908) 
# Washington  SNOTEL Site - 3500 ft
# Reporting Frequency: Daily; Date Range: 2017-01-01 to 2017-12-31
#
# As of: Jun 9, 2017 6:09:55 PM GMT-08:00
#
Date,Alpine Meadows (908) Snow Water Equivalent (in) Start of Day Values,Alpine Meadows (908) Snow Depth (in) Start of Day Values,Alpine Meadows (908) Precipitation Accumulation (in) Start of Day Values,Alpine Meadows (908) Air Temperature Observed (degF) Start of Day Values,Alpine Meadows (908) Air Temperature Maximum (degF),Alpine Meadows (908) Air Temperature Minimum (degF),Alpine Meadows (908) Air Temperature Average (degF)
2017-01-01,30.4,83,76.7,26,28,20,23
2017-01-02,30.7,81,77.0,22,24,13,19
2017-01-03,30.8,79,77.0,13,20,13,15
2017-01-04,30.9,78,77.0,13,26,13,19
2017-01-05,30.8,77,77.0,18,28,18,21
2017-01-06,30.9,77,77.0,20,29,18,23
2017-01-07,30.9,77,77.0,25,29,20,25
2017-01-08,30.8,74,77.0,29,39,28,34
2017-01-09,31.7,75,77.8,35,35,28,31
2017-01-10,32.8,79,78.9,28,33,21,28
2017-01-11,32.7,77,78.9,21,29,18,22
2017-01-12,32.7,77,78.9,18,29,19,23
2017-01-13,32.6,76,78.9,24,35,22,28
2017-01-14,32.6,75,78.9,32,39,31,35
2017-01-15,32.7,75,78.9,36,41,32,36
2017-01-16,32.7,75,78.9,37,43,36,39
2017-01-17,32.8,73,78.9,41,43,36,40
2017-01-18,34.9,71,80.6,40,41,35,38
2017-01-19,34.3,69,82.1,35,35,34,35
2017-01-20,34.7,70,82.6,34,38,32,35
2017-01-21,34.5,70,82.9,34,40,33,35
2017-01-22,34.4,70,82.9,33,38,29,33
2017-01-23,34.8,74,83.2,30,37,29,31
2017-01-24,34.8,72,83.2,29,33,28,31
2017-01-25,34.7,72,83.2,31,34,29,32
2017-01-26,34.8,73,83.3,33,37,31,33
2017-01-27,34.8,72,83.3,31,39,30,34
2017-01-28,34.8,72,83.3,38,45,37,41
2017-01-29,34.8,71,83.3,42,42,35,38
2017-01-30,35.6,71,84.0,36,36,31,33
2017-01-31,35.4,71,84.0,32,32,21,28
2017-02-01,35.1,72,84.1,21,29,18,23
2017-02-02,35.0,72,84.1,22,31,20,26
2017-02-03,34.9,71,84.1,28,35,28,33
2017-02-04,36.3,79,85.5,34,36,32,34
2017-02-05,40.3,87,88.3,32,32,28,30
2017-02-06,41.2,98,90.2,31,31,24,27
2017-02-07,41.9,104,91.1,27,36,21,28
2017-02-08,41.7,100,91.1,28,38,28,32
2017-02-09,43.0,99,92.1,37,43,35,39
2017-02-10,42.7,94,94.5,35,35,30,33
2017-02-11,43.5,97,95.5,30,35,29,31
2017-02-12,43.4,96,95.7,29,38,28,33
2017-02-13,43.3,95,95.7,36,55,36,43
2017-02-14,43.3,94,95.7,42,51,38,44
2017-02-15,43.6,92,96.0,40,45,40,42
2017-02-16,44.3,88,98.5,41,42,35,38
2017-02-17,42.9,86,100.3,35,44,33,36
2017-02-18,42.6,86,100.4,35,37,33,35
2017-02-19,43.1,88,101.0,33,36,32,34
2017-02-20,43.4,91,101.5,34,38,33,34
2017-02-21,44.0,94,101.8,33,35,29,32
2017-02-22,44.2,94,102.1,29,35,27,29
2017-02-23,44.6,95,102.3,27,32,23,27
2017-02-24,44.8,96,102.5,26,35,24,28
2017-02-25,45.2,97,102.9,25,32,24,28
2017-02-26,45.9,98,103.1,28,39,28,30
2017-02-27,47.4,102,104.6,28,29,22,26
