N, Walltime Insert Tot (ms), Walltime Insert Per 1k (ms), Walltime Rm Tot (ms), Walltime Rm Per 1k (ms)
1000, 103.0000, 0.2060, 65.0000, 0.1300
2000, 95.0000, 0.1900, 74.0000, 0.1480
3000, 102.0000, 0.2040, 82.0000, 0.1640
4000, 88.0000, 0.1760, 66.0000, 0.1320
5000, 92.0000, 0.1840, 63.0000, 0.1260
6000, 94.0000, 0.1880, 71.0000, 0.1420
7000, 88.0000, 0.1760, 69.0000, 0.1380
8000, 113.0000, 0.2260, 75.0000, 0.1500
9000, 100.0000, 0.2000, 73.0000, 0.1460
1000, 73.0000, 0.1460, 57.0000, 0.1140



N, Walltime Insert Tot (ms), Walltime Insert Per 1k (ms), Walltime Rm Tot (ms), Walltime Rm Per 1k (ms)
1000, 174.0000, 0.3480, 138.0000, 0.2760
2000, 202.0000, 0.4040, 170.0000, 0.3400
3000, 187.0000, 0.3740, 186.0000, 0.3720
4000, 239.0000, 0.4780, 218.0000, 0.4360
5000, 264.0000, 0.5280, 250.0000, 0.5000
6000, 226.0000, 0.4520, 213.0000, 0.4260
7000, 228.0000, 0.4560, 211.0000, 0.4220
8000, 221.0000, 0.4420, 224.0000, 0.4480
9000, 244.0000, 0.4880, 242.0000, 0.4840
1000, 172.0000, 0.3440, 139.0000, 0.2780
