***************************
Breadth-first search timing
***************************
N, Total Time (ms), Amortized Time (ms)
63, 45.000, 0.714286
127, 35.000, 0.275591
255, 22.000, 0.086275
511, 62.000, 0.121331
1023, 115.000, 0.112414
2047, 223.000, 0.108940
4095, 402.000, 0.098168
8191, 768.000, 0.093761
16383, 1251.000, 0.076360

***************************
Add new nodes to tree timing
***************************
Nodes Added, Total Time (ms), Amortized Time (ms)
64, 4.000, 0.062500
128, 5.000, 0.039063
256, 7.000, 0.027344
512, 12.000, 0.023438
1024, 20.000, 0.019531
2048, 36.000, 0.017578
4096, 70.000, 0.017090
8192, 136.000, 0.016602
16384, 284.000, 0.017334

***************************
Remove nodes from tree timing
***************************
Nodes Removed, Total Time (ms), Amortized Time (ms)
64, 4.000, 0.062500
128, 4.000, 0.031250
256, 6.000, 0.023438
512, 16.000, 0.031250
1024, 18.000, 0.017578
2048, 34.000, 0.016602
4096, 73.000, 0.017822
8192, 137.000, 0.016724
16384, 282.000, 0.017212

