***************************
Breadth-first search timing
***************************
N, Total Time (ms), Amortized Time (ms)
63, 38.000, 0.603175
127, 40.000, 0.314961
255, 20.000, 0.078431
511, 54.000, 0.105675
1023, 108.000, 0.105572
2047, 302.000, 0.147533
4095, 436.000, 0.106471
8191, 719.000, 0.087779
16383, 2073.000, 0.126534

***************************
Add new nodes to tree timing
***************************
Nodes Added, Total Time (ms), Amortized Time (ms)
64, 4.000, 0.062500
128, 5.000, 0.039063
256, 9.000, 0.035156
512, 11.000, 0.021484
1024, 26.000, 0.025391
2048, 33.000, 0.016113
4096, 66.000, 0.016113
8192, 137.000, 0.016724
16384, 342.000, 0.020874

***************************
Remove nodes from tree timing
***************************
Nodes Removed, Total Time (ms), Amortized Time (ms)
64, 4.000, 0.062500
128, 6.000, 0.046875
256, 9.000, 0.035156
512, 15.000, 0.029297
1024, 35.000, 0.034180
2048, 54.000, 0.026367
4096, 103.000, 0.025146
8192, 134.000, 0.016357
16384, 367.000, 0.022400

